daynumber,issue.type,issue.count
1,bookmarks,21
1,antivirus,5
2,bookmarks,23
2,antivirus,2
3,bookmarks,14
3,antivirus,2
4,bookmarks,19
4,antivirus,9
5,bookmarks,18
5,antivirus,3
6,bookmarks,15
6,antivirus,5
7,bookmarks,11
7,antivirus,3
8,bookmarks,17
8,antivirus,1
9,bookmarks,11
9,antivirus,2
10,bookmarks,15
10,antivirus,3
11,bookmarks,7
11,antivirus,2
12,bookmarks,8
12,antivirus,3
13,bookmarks,6
13,antivirus,4
14,bookmarks,8
14,antivirus,2
15,bookmarks,5
15,antivirus,12
16,bookmarks,6
16,antivirus,3
17,bookmarks,5
17,antivirus,3
18,bookmarks,7
18,antivirus,4
19,bookmarks,10
19,antivirus,6
20,bookmarks,9
20,antivirus,5
21,bookmarks,4
21,antivirus,3
